essay_id,origin_regions,circulation_regions,cultural_regions
agave,Mesoamerica; North America; South America,Mesoamerica; North America; Western Europe; Mediterranean Basin,Mesoamerica; North America; Western Europe
arbor-vitae,North America,North America; Western Europe; Mediterranean Basin,North America; Western Europe
banana,Southeast Asia; Oceania,Southeast Asia; Oceania; South Asia; Sub-Saharan Africa; Caribbean,Southeast Asia; Oceania; South Asia; Sub-Saharan Africa; Caribbean
dittany,Mediterranean Basin,Mediterranean Basin; Western Europe; North America,Mediterranean Basin; Western Europe; North America
mint,Mediterranean Basin; East Asia; South Asia,Western Europe; North America; Mediterranean Basin,Mediterranean Basin; Western Europe; North America
turmeric,South Asia; Southeast Asia,South Asia; Southeast Asia; Oceania; Western Europe; Mediterranean Basin,South Asia; Southeast Asia; Western Europe
boxwood,Mediterranean Basin; Western Europe; North Africa; Middle East,Western Europe; North America; Mediterranean Basin,Western Europe; Mediterranean Basin; North America
cacao,South America; Amazon Basin; Mesoamerica,Mesoamerica; South America; Western Europe; Atlantic World,Mesoamerica; South America; Western Europe
carolina-rice,East Asia; Tropical Africa,Sub-Saharan Africa; North America; Western Europe; South Asia,North America; Western Europe; South Asia; Sub-Saharan Africa
cassava,South America; Amazon Basin; Mesoamerica; Andean Highlands,South America; Caribbean; Atlantic World; Sub-Saharan Africa; Southeast Asia,South America; Amazon Basin; Andean Highlands; Caribbean; Sub-Saharan Africa
cinnamon,South Asia; Southeast Asia,Indian Ocean World; Mediterranean Basin; Western Europe; East Asia,South Asia; Western Europe; Mediterranean Basin
dragon-tree,Mediterranean Basin; North Africa,Mediterranean Basin; Western Europe; Atlantic World,Mediterranean Basin; Western Europe; North Africa
heliconia,South America; Oceania,Western Europe; East Asia; Oceania; South Asia,South America; Western Europe; Caribbean
pelargonium,Sub-Saharan Africa,Mediterranean Basin; Western Europe; North Africa,Western Europe; North Africa
sunflower,North America,North America; Western Europe; Mediterranean Basin,Western Europe; North America
watermelon,Tropical Africa; North Africa,Mediterranean Basin; South Asia; East Asia; Western Europe; North America,Mediterranean Basin; East Asia; Western Europe; North America; Tropical Africa
peony,East Asia,East Asia; Mediterranean Basin; Western Europe,East Asia; Western Europe; Mediterranean Basin
contrayerva,Andean Highlands; Mesoamerica,Western Europe; Mediterranean Basin; South America,Andean Highlands; Mesoamerica; Western Europe
corpse-flower,Southeast Asia,Southeast Asia; Western Europe; North America,Western Europe; North America; Southeast Asia
tamarind,Tropical Africa; South Asia,Tropical Africa; South Asia; Middle East; Mediterranean Basin; South America,South Asia; Caribbean; Tropical Africa; Middle East
venus-flytrap,North America,North America; Western Europe,Western Europe; North America
peanut,South America; Andean Highlands; Amazon Basin,South America; Mesoamerica; Caribbean; East Asia,Andean Highlands; Mesoamerica; Caribbean; East Asia
maize,Mesoamerica; Amazon Basin; South America,Mesoamerica; South America; Amazon Basin; Andean Highlands; North America,Mesoamerica; South America; North America
black-eyed-pea,Sub-Saharan Africa; Tropical Africa,Sub-Saharan Africa; Mediterranean Basin; South Asia; East Asia; Atlantic World,Sub-Saharan Africa; Mediterranean Basin; Western Europe; North America; Caribbean
ayahuasca,Amazon Basin; Andean Highlands; South America,Amazon Basin; Andean Highlands; South America; Western Europe; North America,Amazon Basin; Andean Highlands; South America; Western Europe; North America
cryptomeria,East Asia,East Asia; North America,East Asia
dioscoreavillosa,North America; Mesoamerica,North America; Mesoamerica; Western Europe; Caribbean,North America; Mesoamerica; Caribbean; Western Europe
eggplant,South Asia; East Asia; Southeast Asia,South Asia; East Asia; Southeast Asia; Mediterranean Basin; Western Europe,South Asia; East Asia; Mediterranean Basin; North America
how-to-read-an-herbarium-specimen,Mesoamerica; Amazon Basin; North America,Western Europe; North America; South America; Amazon Basin,Western Europe; North America; Amazon Basin
katsura,East Asia,East Asia; Western Europe; North America,East Asia; North America; Western Europe
poppy,Mediterranean Basin; Middle East,Mediterranean Basin; Middle East; South Asia; East Asia; Silk Road Region,Mediterranean Basin; Middle East; Western Europe; East Asia; South Asia
quinoa,Andean Highlands; South America,Andean Highlands; South America; Western Europe; North America,Andean Highlands; South America; Western Europe; North America
breadfruit,Oceania; Southeast Asia,Oceania; Caribbean; Western Europe; South Asia,Oceania; Caribbean; Western Europe
soybean,East Asia; Central Asia,East Asia; Western Europe; North America; South America,East Asia; North America; South America; Western Europe
indigo,South Asia; Mesoamerica; Tropical Africa; East Asia,South Asia; Mediterranean Basin; Western Europe; Caribbean; North America,South Asia; Western Europe; Caribbean; North America; Mesoamerica
okra,Southeast Asia; South Asia; Horn of Africa; Tropical Africa,Horn of Africa; North Africa; Mediterranean Basin; Atlantic World; Caribbean,North America; Caribbean; South America; Mediterranean Basin
pecan,North America,North America; Western Europe,North America
mimosa-pudica,South America; Amazon Basin,South America; Caribbean; Western Europe; North America,South America; Caribbean; Western Europe; North America
tamarack,North America; East Asia; Central Asia; Eastern Europe,North America; East Asia; Central Asia; Western Europe,North America; East Asia
paperbark,Oceania; Southeast Asia,East Asia; North America; Oceania,Oceania; Southeast Asia; East Asia; North America
gulmohar,Sub-Saharan Africa; Indian Ocean World,Indian Ocean World; South Asia; Southeast Asia; Western Europe; Caribbean,South Asia
passionflower,South America; Amazon Basin; Mesoamerica; North America,South America; Mesoamerica; North America; Western Europe; Mediterranean Basin,South America; Mesoamerica; North America; Western Europe; Mediterranean Basin
jasmine,Central Asia; South Asia; East Asia,East Asia; South Asia; Middle East; Mediterranean Basin; Western Europe,South Asia; East Asia; Middle East; Mediterranean Basin; Western Europe
mulberry,East Asia; Himalayan Region; North America; Middle East,East Asia; South Asia; Mediterranean Basin; Western Europe; North America,East Asia; South Asia; Mediterranean Basin; Western Europe; North America
potato,Andean Highlands; South America,South America; Western Europe; North America; Atlantic World,Andean Highlands; Western Europe; North America
guelder-rose,Western Europe; Eastern Europe,Western Europe; Eastern Europe; Mediterranean Basin,Eastern Europe; Western Europe; East Asia
coffee,Tropical Africa; Horn of Africa,Middle East; Indian Ocean World; Southeast Asia; Caribbean; South America,Middle East; Mediterranean Basin; Western Europe; Caribbean; South America
wild-rice,North America,North America; Western Europe,North America
